latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.90949,-64.85968,307.43,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.48,1.29,N
7.91375,-64.3106,304.14,0.36,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.66,0.61,N
7.94004,-66.23552,306.38,0.53,0.5,2025-01-18,622,N,VIIRS,n,2.0NRT,292.42,1.22,N
7.9409,-66.24034,303.77,0.53,0.5,2025-01-18,622,N,VIIRS,n,2.0NRT,292.33,0.84,N
7.94154,-66.23196,303.68,0.53,0.5,2025-01-18,622,N,VIIRS,n,2.0NRT,292.25,1.36,N
7.94237,-66.2368,306.96,0.53,0.5,2025-01-18,622,N,VIIRS,n,2.0NRT,292.3,2.37,N
7.94381,-66.22988,309.97,0.53,0.5,2025-01-18,622,N,VIIRS,n,2.0NRT,292.54,1.22,N
8.02408,-66.46933,312.63,0.51,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.98,1.16,N
8.06842,-63.6475,303.92,0.39,0.6,2025-01-18,622,N,VIIRS,n,2.0NRT,291.25,0.95,N
8.10335,-66.65781,314,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.87,1.3,N
8.10537,-64.71926,304.04,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.66,0.71,N
8.10691,-66.62464,309.48,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.78,1.04,N
8.10697,-64.71869,308.87,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.38,0.67,N
8.10769,-66.62917,304.71,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.83,1.04,N
8.10783,-66.65703,318.35,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,293.1,1.3,N
8.10821,-66.62221,315.16,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.81,2.46,N
8.11064,-66.61932,321.53,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.81,2.05,N
8.11141,-66.62385,309.93,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.91,1.47,N
8.1119,-66.6169,324.76,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.98,2.46,N
8.11232,-66.65623,305.33,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.72,1.3,N
8.11513,-66.61852,306.35,0.5,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.89,2.05,N
8.13254,-68.17604,304.39,0.4,0.44,2025-01-18,622,N,VIIRS,n,2.0NRT,291.76,0.43,N
8.19207,-62.82759,307.28,0.45,0.63,2025-01-18,622,N,VIIRS,n,2.0NRT,290.24,0.36,N
8.19683,-62.82474,304.76,0.45,0.63,2025-01-18,622,N,VIIRS,n,2.0NRT,289.73,0.77,N
8.21258,-62.908,309.21,0.44,0.62,2025-01-18,622,N,VIIRS,n,2.0NRT,289.89,0.64,N
8.23066,-65.83051,310.5,0.56,0.51,2025-01-18,622,N,VIIRS,n,2.0NRT,292.19,1.11,N
